commit id,author,date,comment,changed files,lines added,lines deleted,
a39718b2d,Christoph,Fri Jan 28 02:46:19 2022,Update to Javafx 17.02 (#8470),   1 file changed, 1 insertion(+), 1 deletion(-) ,
2c92eb04e,Dimitrios Dimos,Tue Jan 25 13:56:23 2022,Made search button in Web search wider. Also skewed side panel titles to the left (#8463),   3 files changed, 4 insertions(+), 4 deletions(-) ,
83c684033,dependabot[bot],Mon Jan 24 10:29:36 2022,Bump h2-mvstore from 2.0.206 to 2.1.210 in /buildSrc (#8458),   2 files changed, 2 insertions(+), 2 deletions(-) ,
521f0ee84,dependabot[bot],Mon Jan 24 10:18:46 2022,Bump mariadb-java-client from 2.7.4 to 2.7.5 (#8457),   1 file changed, 1 insertion(+), 1 deletion(-) ,
576f8c79b,dependabot[bot],Mon Jan 24 10:18:06 2022,Bump com.github.andygoossens.modernizer from 1.6.1 to 1.6.2 (#8459),   1 file changed, 1 insertion(+), 1 deletion(-) ,
86c2ea03c,dependabot[bot],Mon Jan 24 10:17:34 2022,Bump mockito-core from 4.2.0 to 4.3.0 (#8460),   1 file changed, 1 insertion(+), 1 deletion(-) ,
6487c29cf,dependabot[bot],Mon Jan 24 10:17:07 2022,Bump xmlunit-matchers from 2.8.3 to 2.8.4 (#8461),   1 file changed, 1 insertion(+), 1 deletion(-) ,
e4e32c6b8,Tobias Diez,Mon Jan 24 08:56:14 2022,Improve error handling for browser extension (#8432),   4 files changed, 47 insertions(+), 28 deletions(-) ,
6414f537f,Jonatan Asketorp,Sun Jan 23 15:37:30 2022,Fix code-style suggestions,   2 files changed, 2 insertions(+), 7 deletions(-) ,
12494db5f,Jonatan Asketorp,Sun Jan 23 15:36:30 2022,Add Tooltip,   1 file changed, 3 insertions(+) ,,
c1152ff93,Jonatan Asketorp,Sun Jan 23 15:36:08 2022,"Fix re-enabling Jump to entry""""",   1 file changed, 8 insertions(+), 8 deletions(-) ,
f64206a67,Siedlerchr,Sun Jan 23 10:22:31 2022,remove,   2 files changed, 4 insertions(+), 61 deletions(-) ,
69da313c4,Siedlerchr,Sat Jan 22 11:11:08 2022,first step of extracting duplicate handling logic,   5 files changed, 52 insertions(+), 5 deletions(-) ,
f977d26a5,Siedlerchr,Fri Jan 21 11:55:20 2022,Merge remote-tracking branch 'upstream/main' into checkKeygenOverwrite, ,,,
ff47dae6a,Christoph,Wed Jan 19 13:43:33 2022,New Crowdin updates (#8451),   10 files changed, 10 deletions(-) ,,
9024f87c6,Christoph,Wed Jan 19 11:16:00 2022,Fix library tab exception when saving prefs (#8450),   2 files changed, 23 insertions(+), 30 deletions(-) ,
62e4ec437,MLEP,Wed Jan 19 06:44:24 2022,Rename Groups interface into Groups (#8449),   2 files changed, 1 insertion(+), 2 deletions(-) ,
f96037d2a,Christoph,Tue Jan 18 13:57:42 2022,New Crowdin updates (#8445),   3 files changed, 18 insertions(+), 3 deletions(-) ,
e0e71913d,Siedlerchr,Mon Jan 17 15:36:40 2022,Merge remote-tracking branch 'upstream/main', ,,,
dc5346045,Siedlerchr,Mon Jan 17 15:35:47 2022,update snap url,   1 file changed, 1 insertion(+), 1 deletion(-) ,
494c20246,Carl Christian Snethlage,Mon Jan 17 15:35:46 2022,Update bug_report.yml for 5.5,   1 file changed, 1 insertion(+), 1 deletion(-) ,
8e0bfebe4,Carl Christian Snethlage,Mon Jan 17 14:47:15 2022,Show development information\n\n+semver: minor,   1 file changed, 25 insertions(+) ,,
27a05c73a,Carl Christian Snethlage,Mon Jan 17 13:20:16 2022,Release v5.5,   1 file changed, 3 insertions(+), 18 deletions(-) ,
4ed1d7eaa,Christoph,Mon Jan 17 13:11:55 2022,Merge pull request #8442 from JabRef/update-journallist, ,,,
56cea3c31,Siedlerchr,Mon Jan 17 13:11:16 2022,Update journal abbrev list,   1 file changed, 0 insertions(+), 0 deletions(-) ,
a14f0a861,Siedlerchr,Mon Jan 17 13:08:42 2022,Fix missing imports,   1 file changed, 2 insertions(+) ,,
b3de3162f,Oliver Kopp,Mon Jan 17 12:57:19 2022,Merge remote-tracking branch 'origin/main' into refine-search, ,,,
7287baf31,Christoph,Mon Jan 17 12:50:34 2022,Merge pull request #8441 from JabRef/refresh-csl, ,,,
88325131d,Christoph,Mon Jan 17 12:48:45 2022,New Crowdin updates (#8439),   22 files changed, 467 insertions(+), 459 deletions(-) ,
da085e303,github actions,Mon Jan 17 12:48:23 2022,Squashed 'buildres/csl/csl-styles/' changes from 5563cccb2a..0237ae7bea,   11 files changed, 30 insertions(+), 17 deletions(-) ,
10ca6c055,github actions,Mon Jan 17 12:48:23 2022,Refresh example styles,   1 file changed, 11 insertions(+), 8 deletions(-) ,
64ea641af,github actions,Mon Jan 17 12:48:23 2022,Merge commit 'da085e30381ee4966801abb906e02a3f9de7ec01', ,,,
a377f4c80,Dimitrios Dimos,Mon Jan 17 12:43:18 2022,Fixed add group button changing color after adding 10 groups (#8392),   3 files changed, 1 insertion(+), 30 deletions(-) ,
b4726abbd,dependabot[bot],Mon Jan 17 12:09:37 2022,Bump slf4j-api from 2.0.0-alpha5 to 2.0.0-alpha6 in /buildSrc (#8438),   2 files changed, 2 insertions(+), 2 deletions(-) ,
5f11690ce,dependabot[bot],Mon Jan 17 08:38:07 2022,Bump libreoffice from 7.2.3 to 7.2.5 (#8436),   1 file changed, 1 insertion(+), 1 deletion(-) ,
977caf764,dependabot[bot],Mon Jan 17 08:36:17 2022,Bump org.openjfx.javafxplugin from 0.0.10 to 0.0.11 (#8437),   1 file changed, 1 insertion(+), 1 deletion(-) ,
88773cc90,Christoph,Sun Jan 16 11:06:21 2022,Fix file directory preferences not respected (#8429),   3 files changed, 6 insertions(+), 5 deletions(-) ,
9bfa486e1,Christoph,Sun Jan 16 09:08:16 2022,Merge pull request #8430 from JabRef/refresh-csl, ,,,
f59e1343c,github actions,Fri Jan 14 19:21:36 2022,Squashed 'buildres/csl/csl-locales/' changes from c38205618f..4a551a87c3,   58 files changed, 16049 insertions(+), 206 deletions(-) ,
b2baba12e,github actions,Fri Jan 14 19:21:36 2022,Refresh example styles,   1 file changed, 302 insertions(+), 3 deletions(-) ,
1f322b0e6,github actions,Fri Jan 14 19:21:36 2022,Merge commit 'f59e1343c690ce04b1464069810c74db6bcc2261', ,,,
4b85680fa,github actions,Fri Jan 14 19:21:34 2022,Refresh example styles,   1 file changed, 8 insertions(+), 15 deletions(-) ,
aaab4e8b5,github actions,Fri Jan 14 19:21:33 2022,Squashed 'buildres/csl/csl-styles/' changes from f78c707d30..5563cccb2a,   65 files changed, 5088 insertions(+), 407 deletions(-) ,
f5528e914,github actions,Fri Jan 14 19:21:33 2022,Merge commit 'aaab4e8b5010d9c22a832b4662be1b0f90c085ce', ,,,
6dddf93af,Oliver Kopp,Thu Jan 13 15:46:42 2022,Add roundtrip test (#8425),   2 files changed, 26 insertions(+) ,,
b8f710dc7,Oliver Kopp,Thu Jan 13 15:27:37 2022,"% Encoding"" is written again in the case of non-UTF-8 (#8424)""",   5 files changed, 62 insertions(+), 2 deletions(-) ,
ccf20b4e3,Christoph,Thu Jan 13 14:06:08 2022,Change default behavior of resolve bibtex strings (#8382),   23 files changed, 335 insertions(+), 145 deletions(-) ,
9b8f17be4,dimitrisdimos00,Wed Jan 12 15:09:24 2022,Fixed duplicate fields assigned to entry types (#8391),   4 files changed, 18 insertions(+), 3 deletions(-) ,
9e3506fef,dependabot[bot],Mon Jan 10 09:45:15 2022,Bump unoloader from 7.2.2 to 7.2.5 (#8415),   1 file changed, 1 insertion(+), 1 deletion(-) ,
ee3cef73f,dependabot[bot],Mon Jan 10 08:54:05 2022,Bump checkstyle from 9.2 to 9.2.1 (#8409),   1 file changed, 1 insertion(+), 1 deletion(-) ,
2192a102d,dependabot[bot],Mon Jan 10 08:53:57 2022,Bump unirest-java from 3.13.4 to 3.13.6 (#8410),   1 file changed, 1 insertion(+), 1 deletion(-) ,
5ee57579b,dependabot[bot],Mon Jan 10 08:53:25 2022,Bump h2-mvstore from 2.0.204 to 2.0.206 (#8412),   3 files changed, 27 insertions(+), 22 deletions(-) ,
438963845,dependabot[bot],Mon Jan 10 08:46:09 2022,Bump ikonli-materialdesign2-pack from 12.2.0 to 12.3.0 (#8411),   1 file changed, 1 insertion(+), 1 deletion(-) ,
50eab721e,dependabot[bot],Mon Jan 10 08:41:36 2022,Bump ikonli-javafx from 12.2.0 to 12.3.0 (#8408),   1 file changed, 1 insertion(+), 1 deletion(-) ,
f39269ab7,Oliver Kopp,Sun Jan 9 08:33:11 2022,Improve code comments (#8404),   7 files changed, 36 insertions(+), 22 deletions(-) ,
f69992a21,Oliver Kopp,Sun Jan 9 07:06:29 2022,Fix plural s in library properties tab (#8402),   3 files changed, 2 insertions(+), 2 deletions(-) ,
7d4916ead,Christoph,Sun Jan 9 03:48:14 2022,Fix lucence segment error by checking for existing index (#8401),   3 files changed, 20 insertions(+), 19 deletions(-) ,
33a826bc0,Siedlerchr,Sat Jan 8 11:47:27 2022,try excluding useless codecs,   2 files changed, 5 deletions(-) ,,
070aac7a7,Christoph,Sat Jan 8 08:09:04 2022,Replace master with main,   1 file changed, 25 insertions(+), 26 deletions(-) ,
80ad646aa,Siedlerchr,Sat Jan 8 07:46:02 2022,try init directly,   3 files changed, 4 insertions(+), 11 deletions(-) ,
618dc4a30,Siedlerchr,Sat Jan 8 05:01:20 2022,reenable normale options,   1 file changed, 1 insertion(+), 1 deletion(-) ,
6f1a82c89,Benedikt Tutzer,Sat Jan 8 03:23:51 2022,Step lucene index version,   1 file changed, 1 insertion(+), 1 deletion(-) ,
1ef7d2a87,Siedlerchr,Fri Jan 7 17:03:41 2022,fix some potential resource leaks,   1 file changed, 7 insertions(+), 9 deletions(-) ,
259945ffa,Siedlerchr,Fri Jan 7 16:54:07 2022,add analysis and highlighter to module info,   1 file changed, 3 insertions(+) ,,
e5e0f3d08,Siedlerchr,Fri Jan 7 16:30:35 2022,try debug mode,   2 files changed, 11 insertions(+), 2 deletions(-) ,
849da3dda,Siedlerchr,Tue Jan 4 05:22:56 2022,further testing check if index exists,   3 files changed, 13 insertions(+), 18 deletions(-) ,
2f7ffad9e,Siedlerchr,Tue Jan 4 04:28:07 2022,Merge remote-tracking branch 'upstream/main' into lucenceUpgrade, ,,,
777486323,Carl Christian Snethlage,Tue Jan 4 01:07:31 2022,Introduced builder and defaults constructor,   2 files changed, 89 insertions(+), 19 deletions(-) ,
c94bb1b43,Carl Christian Snethlage,Mon Jan 3 16:25:03 2022,Observable Preferences J (Preview) and minor refactor (#8370),   20 files changed, 385 insertions(+), 404 deletions(-) ,
5e2c6979c,Carl Christian Snethlage,Mon Jan 3 16:07:38 2022,quickfix (#8383),   1 file changed, 9 insertions(+), 1 deletion(-) ,
222d214e3,Rob Platt,Mon Jan 3 13:18:24 2022,Live reloading when switching themes (#7336),   60 files changed, 1228 insertions(+), 733 deletions(-) ,
617c5a18b,Christoph,Mon Jan 3 11:40:58 2022,FIX NPE on Merge Dialog (#8380),   2 files changed, 2 insertions(+) ,,
aac66f5bf,dependabot[bot],Mon Jan 3 10:08:51 2022,Bump org.eclipse.jgit from 5.13.0.202109080827-r to 6.0.0.202111291000-r (#8378),   1 file changed, 1 insertion(+), 1 deletion(-) ,
86c52c872,dependabot[bot],Mon Jan 3 10:08:40 2022,Bump jackson-dataformat-yaml from 2.13.0 to 2.13.1 (#8379),   1 file changed, 1 insertion(+), 1 deletion(-) ,
619744c61,dependabot[bot],Mon Jan 3 07:14:28 2022,Bump tika-core from 2.2.0 to 2.2.1 (#8377),   1 file changed, 1 insertion(+), 1 deletion(-) ,
55ceed91c,Christoph,Sun Jan 2 12:14:51 2022,Merge pull request #8373 from JabRef/refresh-csl, ,,,
1fcdcca00,Carl Christian Snethlage,Sat Jan 1 11:14:17 2022,Update turabian-fullnote-bibliography-no-ibid.csl,   1 file changed, 11 deletions(-) ,,
b2f6d8d45,Siedlerchr,Sat Jan 1 07:59:36 2022,add uses,   2 files changed, 3 insertions(+) ,,
994727625,github actions,Fri Dec 31 19:22:02 2021,Squashed 'buildres/csl/csl-locales/' changes from d5ee85de8e..c38205618f,   2 files changed, 3 insertions(+), 1 deletion(-) ,
44ce83c23,github actions,Fri Dec 31 19:22:02 2021,Merge commit '99472762542c859cda68302d6dda564806855702', ,,,
1d32876ba,github actions,Fri Dec 31 19:21:59 2021,Squashed 'buildres/csl/csl-styles/' changes from 60bf7d5c75..f78c707d30,   48 files changed, 8467 insertions(+), 320 deletions(-) ,
ebbc849b5,github actions,Fri Dec 31 19:21:59 2021,Refresh example styles, ,,,
1afb09e3a,Siedlerchr,Fri Dec 31 06:23:48 2021,Merge remote-tracking branch 'upstream/main' into lucenceUpgrade, ,,,
5250ce4f6,Siedlerchr,Fri Dec 31 06:23:29 2021,test with providing info in merged module,   1 file changed, 7 insertions(+) ,,
8e922280f,dependabot[bot],Tue Dec 28 05:16:37 2021,Bump jackson-datatype-jsr310 from 2.13.0 to 2.13.1 (#8366),   1 file changed, 1 insertion(+), 1 deletion(-) ,
d8513ae53,dependabot[bot],Tue Dec 28 05:16:28 2021,Bump xmpbox from 2.0.24 to 2.0.25 (#8364),   1 file changed, 1 insertion(+), 1 deletion(-) ,
dea1fda2b,dependabot[bot],Tue Dec 28 05:16:15 2021,Bump mockito-core from 4.1.0 to 4.2.0 (#8367),   1 file changed, 1 insertion(+), 1 deletion(-) ,
f5e894368,dependabot[bot],Tue Dec 28 05:15:24 2021,Bump h2-mvstore from 2.0.202 to 2.0.204 (#8365),   2 files changed, 2 insertions(+), 2 deletions(-) ,
814eb0d3e,Carl Christian Snethlage,Mon Dec 27 09:40:05 2021,Added lucene.codecs to build.gradle and module.info,   2 files changed, 2 insertions(+), 3 deletions(-) ,
32223a416,Oliver Kopp,Mon Dec 27 03:01:49 2021,Update Gradle Wrapper from 7.3.2 to 7.3.3. (#8363),   1 file changed, 2 insertions(+), 2 deletions(-) ,
52f8cc8d5,Siedlerchr,Mon Dec 27 03:00:42 2021,checkstyle,   1 file changed, 1 insertion(+) ,,
a4ab76194,Siedlerchr,Sun Dec 26 16:04:17 2021,"Pass IndexWriter on search, use try with resources",   3 files changed, 11 insertions(+), 4 deletions(-) ,
923ab5ea0,Siedlerchr,Sun Dec 26 15:34:58 2021,Upgrade lucence to 9.x with proper JPMS,   5 files changed, 11 insertions(+), 36 deletions(-) ,
b2b350417,Siedlerchr,Sun Dec 26 15:16:23 2021,Fix import entry by id does not genrate citation key,   1 file changed, 49 insertions(+), 21 deletions(-) ,
ba5beb2f3,Carl Christian Snethlage,Sun Dec 26 14:42:01 2021,"Observable preferences I (Internal [formerly Version], Groups, Xmp, AutoComplete) (#8336)",   31 files changed, 482 insertions(+), 341 deletions(-) ,
cd0137f98,Jonatan Asketorp,Sat Dec 25 14:06:32 2021,Changed encoding used by IntegrityCheck (#8359),   6 files changed, 29 insertions(+), 18 deletions(-) ,
4183843a5,Carl Christian Snethlage,Thu Dec 23 12:53:01 2021,Fixes empty metadata in library properties called from right click menu (#8358),   6 files changed, 26 insertions(+), 21 deletions(-) ,
3c936d767,Christoph,Wed Dec 22 09:19:44 2021,bump version,   1 file changed, 1 insertion(+), 1 deletion(-) ,
20dc9a5af,Christoph,Wed Dec 22 09:19:26 2021,Update bug_report.yml,   1 file changed, 1 insertion(+), 1 deletion(-) ,
07bbbebaa,Christoph,Tue Dec 21 11:51:22 2021,Fix NPE when clicking on preview (#8352),   2 files changed, 10 insertions(+), 6 deletions(-) ,
d92466247,Siedlerchr,Tue Dec 21 09:48:34 2021,Update snapcraft portable download link,   1 file changed, 2 insertions(+), 2 deletions(-) ,
c45d94894,Carl Christian Snethlage,Mon Dec 20 15:01:16 2021,Integrated CustomizeExternalFileTypesDialog into Preferences (#8341),   11 files changed, 76 insertions(+), 99 deletions(-) ,
fa10ac011,Oliver Kopp,Mon Dec 20 14:52:03 2021,Fix link,   1 file changed, 1 insertion(+), 1 deletion(-) ,
0ad010a00,Oliver Kopp,Mon Dec 20 14:50:18 2021,Ignore web.archive.org at link check,   1 file changed, 3 insertions(+) ,,
38c5e8a1a,Siedlerchr,Mon Dec 20 14:45:19 2021,Show development information,   1 file changed, 22 insertions(+) ,,
ab4418201,Siedlerchr,Mon Dec 20 13:38:09 2021,Release v5.4,   1 file changed, 3 insertions(+), 92 deletions(-) ,
19f386a48,Siedlerchr,Mon Dec 20 13:34:11 2021,Add external libraries update,   1 file changed, 98 insertions(+), 63 deletions(-) ,
f6d2ca24f,Oliver Kopp,Mon Dec 20 13:13:50 2021,[Bot] Update CSL styles (#8351),   6 files changed, 863 insertions(+), 43 deletions(-) ,
f15cfac6e,github-actions[bot],Mon Dec 20 13:07:48 2021,Update journal abbrev list (#8350),   2 files changed, 7 insertions(+), 6 deletions(-) ,
d5d93a58f,Siedlerchr,Mon Dec 20 11:55:00 2021,checkstyle,   1 file changed, 4 insertions(+), 8 deletions(-) ,
366ccfcd3,Siedlerchr,Mon Dec 20 11:28:37 2021,Update deps,   3 files changed, 14 insertions(+), 8 deletions(-) ,
2762345bb,Siedlerchr,Mon Dec 20 11:11:53 2021,Merge remote-tracking branch 'upstream/main' into jabrefonline, ,,,
1cb83e8f0,Christoph,Mon Dec 20 11:00:51 2021,New Crowdin updates (#8349),   5 files changed, 18 insertions(+) ,,
df4090c72,dependabot[bot],Mon Dec 20 08:37:12 2021,Bump pdfbox from 2.0.24 to 2.0.25 (#8345),   1 file changed, 1 insertion(+), 1 deletion(-) ,
87f46aa5d,dependabot[bot],Mon Dec 20 08:29:37 2021,Bump fontbox from 2.0.24 to 2.0.25 (#8348),   1 file changed, 1 insertion(+), 1 deletion(-) ,
be4d2c47f,dependabot[bot],Mon Dec 20 07:54:07 2021,Bump xmlunit-core from 2.8.3 to 2.8.4 (#8347),   1 file changed, 1 insertion(+), 1 deletion(-) ,
660b81c37,dependabot[bot],Mon Dec 20 07:53:41 2021,Bump tika-core from 2.1.0 to 2.2.0 (#8346),   1 file changed, 1 insertion(+), 1 deletion(-) ,
f4cbd3b63,Carl Christian Snethlage,Mon Dec 20 01:21:37 2021,Added missing executable bindings to various commands (#8342),   6 files changed, 102 insertions(+), 90 deletions(-) ,
98fd3d3d4,Oliver Kopp,Mon Dec 20 00:35:05 2021,Update Gradle Wrapper from 7.3.1 to 7.3.2. (#8343),   1 file changed, 2 insertions(+), 2 deletions(-) ,
6f247f49f,Benedikt Tutzer,Sun Dec 19 12:03:46 2021,Fix issues with writing metadata to pdfs (#8332),   3 files changed, 18 insertions(+), 3 deletions(-) ,
f6efed8d8,Christoph,Sun Dec 19 06:34:44 2021,add tinylog test (#8339),   2 files changed, 2 insertions(+), 13 deletions(-) ,
1c7da01f3,Oliver Kopp,Sat Dec 18 12:05:12 2021,Tinylog (#8226),   16 files changed, 159 insertions(+), 232 deletions(-) ,
144a37d10,Benedikt Tutzer,Fri Dec 17 12:40:22 2021,Don't register any database changes to the indexer while dropping a file (#8334),   15 files changed, 112 insertions(+), 39 deletions(-) ,
5792f0fa1,Christoph,Thu Dec 16 02:13:08 2021,Fix ACM fetcher (#8338),   2 files changed, 18 insertions(+), 25 deletions(-) ,
ef4e696a5,Christoph,Wed Dec 15 11:10:46 2021,Merge pull request #8337 from JabRef/refresh-csl, ,,,
fa1b8a764,github actions,Tue Dec 14 19:17:57 2021,Squashed 'buildres/csl/csl-styles/' changes from 3bb4b5f97c..60bf7d5c75,   11 files changed, 2383 insertions(+), 108 deletions(-) ,
4dc1fee6a,github actions,Tue Dec 14 19:17:57 2021,Merge commit 'fa1b8a76451a9f7e6ec3f2fcdf5bd06f3bd72f01', ,,,
1eed985b7,Brittany,Tue Dec 14 13:12:49 2021,Exception shouldn't happen when pasting an entry with a publication date-range of form yyyy-yyyy (#8247),   4 files changed, 40 insertions(+), 1 deletion(-) ,
851fa4bb4,Houssem Nasri,Tue Dec 14 05:57:24 2021,Refactor Sidepane logic (#8202),   15 files changed, 622 insertions(+), 555 deletions(-) ,
9d55f53b7,Christoph,Mon Dec 13 12:26:09 2021,New translations JabRef_en.properties (Japanese) (#8331),   1 file changed, 130 insertions(+), 3 deletions(-) ,
b756833fb,dependabot[bot],Mon Dec 13 12:25:55 2021,Bump bcprov-jdk15on from 1.69 to 1.70 (#8333),   1 file changed, 1 insertion(+), 1 deletion(-) ,
f9fd220ed,Christoph,Sun Dec 12 13:11:41 2021,Update Controlsfx to 11.1.1 (#8330),   1 file changed, 1 insertion(+), 1 deletion(-) ,
a18838241,Christoph,Sun Dec 12 12:37:16 2021,Update citeproc (#8329),   1 file changed, 1 insertion(+), 1 deletion(-) ,
344641c27,dependabot[bot],Sun Dec 12 12:10:47 2021,Bump classgraph from 4.8.137 to 4.8.138 (#8327),   1 file changed, 1 insertion(+), 1 deletion(-) ,
4ed175275,dependabot[bot],Sun Dec 12 12:10:37 2021,Bump junit-platform-launcher from 1.8.1 to 1.8.2 (#8326),   1 file changed, 1 insertion(+), 1 deletion(-) ,
95d22c936,Christoph,Sun Dec 12 11:59:01 2021,Remove outdated gradle deps check (#8324),   3 files changed, 75 deletions(-) ,,
7cfbab759,dependabot[bot],Sun Dec 12 11:58:19 2021,Bump junit-jupiter from 5.8.1 to 5.8.2 (#8325),   1 file changed, 1 insertion(+), 1 deletion(-) ,
b875e1f65,dependabot[bot],Sun Dec 12 11:58:11 2021,Bump libreoffice from 7.2.2 to 7.2.3 (#8328),   1 file changed, 1 insertion(+), 1 deletion(-) ,
2b74942be,Christoph,Sun Dec 12 11:01:42 2021,Remove outdated ignores,   1 file changed, 1 insertion(+), 7 deletions(-) ,
20b3d73d4,Christoph,Sun Dec 12 00:19:29 2021,New translations JabRef_en.properties (Turkish) (#8321),   1 file changed, 23 insertions(+) ,,
55023e926,Maximilian Federle,Sat Dec 11 12:57:51 2021,snap: Remove superfluous files post build (#8319),   1 file changed, 17 insertions(+) ,,
42fb85cd4,Christoph,Sat Dec 11 12:29:58 2021,Fix IEEE test (#8320),   2 files changed, 4 insertions(+), 3 deletions(-) ,
595c458b0,Christoph,Sat Dec 11 12:28:00 2021,New translations JabRef_en.properties (German) (#8318),   1 file changed, 1 insertion(+) ,,
a74253e0b,Mihail Stoian,Sat Dec 11 10:54:55 2021,Fixed exception handling (#8314),   1 file changed, 1 insertion(+), 1 deletion(-) ,
eff807385,Christoph,Fri Dec 10 08:41:11 2021,New Crowdin updates (#8312),   20 files changed, 16 insertions(+), 39 deletions(-) ,
74a4edb35,Christoph,Wed Dec 8 14:38:57 2021,Fix xmp import (#8311),   3 files changed, 16 insertions(+), 5 deletions(-) ,
075c4d454,Christoph,Wed Dec 8 12:28:23 2021,New Crowdin updates (#8308),   3 files changed, 46 insertions(+), 27 deletions(-) ,
b1338b168,Benedikt Tutzer,Tue Dec 7 12:55:16 2021,Fix file-filter in XMP Export (#8307),   6 files changed, 14 insertions(+), 8 deletions(-) ,
b79442c5a,Christoph,Tue Dec 7 00:27:36 2021,New Crowdin updates (#8306),   22 files changed, 254 insertions(+), 348 deletions(-) ,
ab5e4b543,Benedikt Tutzer,Mon Dec 6 13:27:28 2021,Merge branch 'main' of github.com:JabRef/jabref into unlocalized-preferences-new, ,,,
8.58E+290,Benedikt Tutzer,Mon Dec 6 12:12:57 2021,Un-localized the EMAIL_SUBJECT preference,   3 files changed, 13 insertions(+), 4 deletions(-) ,
fcae62f1d,dependabot[bot],Mon Dec 6 10:39:06 2021,Bump h2-mvstore from 1.4.200 to 2.0.202 (#8302),   4 files changed, 11 insertions(+), 10 deletions(-) ,
46ecb4579,dependabot[bot],Mon Dec 6 09:57:23 2021,Remove bytebuddy (#8300),   1 file changed, 1 deletion(-) ,,
fdc6eee89,dependabot[bot],Mon Dec 6 09:42:44 2021,Bump postgresql from 42.2.24 to 42.3.1 (#8301),   1 file changed, 1 insertion(+), 1 deletion(-) ,
5e765316b,Oliver Kopp,Mon Dec 6 06:31:02 2021,Update Gradle Wrapper from 7.3 to 7.3.1. (#8299),   2 files changed, 7 insertions(+), 6 deletions(-) ,
a364fc2b9,Benedikt Tutzer,Mon Dec 6 05:29:30 2021,ADR,   2 files changed, 80 insertions(+), 19 deletions(-) ,
189fbd017,Christoph,Sun Dec 5 14:52:55 2021,Apply search string to open library when keep search string is selected (#8294),   3 files changed, 9 insertions(+), 1 deletion(-) ,
f7df2754e,Christoph,Fri Dec 3 11:19:17 2021,Fix exception on preview style edit and selection (#8293),   3 files changed, 5 insertions(+), 1 deletion(-) ,
eff62f6dd,Christoph,Wed Dec 1 13:15:26 2021,Fix icon picker excpetion in groups dialog (#8290),   1 file changed, 8 insertions(+), 2 deletions(-) ,
cb1774266,Christoph,Wed Dec 1 12:27:28 2021,Merge pull request #8289 from JabRef/refresh-csl, ,,,
4f11b0826,Oliver Kopp,Wed Dec 1 12:26:28 2021,Add doc tests (#8242),   1 file changed, 57 insertions(+) ,,
f175e2262,Siedlerchr,Wed Dec 1 11:57:58 2021,fix merge conflict,   1 file changed, 30 deletions(-) ,,
a0bb7d43a,github actions,Tue Nov 30 19:19:33 2021,Squashed 'buildres/csl/csl-locales/' changes from 0cc3885f61..d5ee85de8e,   3 files changed, 3 insertions(+), 3 deletions(-) ,
774256bdd,github actions,Tue Nov 30 19:19:33 2021,Merge commit 'a0bb7d43a50ff9a3e0bf5c245c8a8dbf3a71b436', ,,,
632835266,github actions,Tue Nov 30 19:19:30 2021,Squashed 'buildres/csl/csl-styles/' changes from 3a6a0a7bc1..3bb4b5f97c,   69 files changed, 7953 insertions(+), 1037 deletions(-) ,
10cfb9314,github actions,Tue Nov 30 19:19:30 2021,Refresh example styles, ,,,
21749cdf6,Siedlerchr,Tue Nov 30 13:19:56 2021,use new builder,   1 file changed, 4 insertions(+), 7 deletions(-) ,
bc04a9824,Siedlerchr,Tue Nov 30 13:10:57 2021,"Switch to 3.x dev of apollo, get rid of custom jpms hacks",   9 files changed, 6982 insertions(+), 101 deletions(-) ,
498a8e974,Siedlerchr,Tue Nov 30 10:56:24 2021,Merge remote-tracking branch 'upstream/main' into jabrefonline, ,,,
217f9024c,Anna (Ruoyu) Qian,Mon Nov 29 07:49:44 2021,Consider directory pattern when checking if a file can be moved (#8244),   4 files changed, 55 insertions(+), 4 deletions(-) ,
58d75935d,dependabot[bot],Mon Nov 29 07:45:33 2021,Bump byte-buddy-parent from 1.12.1 to 1.12.2 (#8285),   1 file changed, 1 insertion(+), 1 deletion(-) ,
6d915f1a3,dependabot[bot],Mon Nov 29 07:45:14 2021,Bump unirest-java from 3.13.3 to 3.13.4 (#8283),   1 file changed, 1 insertion(+), 1 deletion(-) ,
444c31f6f,dependabot[bot],Mon Nov 29 07:44:28 2021,Bump checkstyle from 9.1 to 9.2 (#8284),   1 file changed, 1 insertion(+), 1 deletion(-) ,
a9cad3034,dependabot[bot],Mon Nov 29 07:43:21 2021,Bump classgraph from 4.8.135 to 4.8.137 (#8282),   1 file changed, 1 insertion(+), 1 deletion(-) ,
69467d3b9,Christoph,Sun Nov 28 12:57:34 2021,Do not resize main table columns in search dialog window (#8253),   13 files changed, 343 insertions(+), 155 deletions(-) ,
7ec4c7e89,Oliver Kopp,Thu Nov 25 15:14:35 2021,Fix NegativeArraySizeException (#8270),   8 files changed, 116 insertions(+), 23 deletions(-) ,
7aaf5e255,Christoph,Thu Nov 25 07:48:39 2021,Update deployment.yml,   1 file changed, 1 insertion(+), 1 deletion(-) ,
5958dff53,Christoph,Thu Nov 25 07:46:43 2021,TEst,   1 file changed, 1 insertion(+) ,,
245689bdf,Oliver Kopp,Tue Nov 23 12:17:13 2021,Fix checkstyle,   25 files changed, 33 insertions(+), 35 deletions(-) ,
05579ed49,Oliver Kopp,Tue Nov 23 12:08:54 2021,Merge remote-tracking branch 'origin/main' into refine-search, ,,,
